cond.thisRepN,cond.thisTrialN,cond.thisN,cond.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,digit_rep.thisRepN,digit_rep.thisTrialN,digit_rep.thisN,digit_rep.thisIndex,thisRow.t,notes,sequence_started,sequence_ended,digit_sequence,result_box.text,confirm_input.keys,confirm_input.rt,confirm_input.duration,input_ended,participant,order,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,0,0,0,0,14.099264699965715,,18:33:06.608197,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,0,0,0,0,1,0,1,0,14.975860099948477,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,0,0,0,0,2,0,2,0,16.110737399954814,,,18:33:10.814007,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,0,0,0,0,,,,,,,,,"[0, 8, 6]",086 ,space,2.8746315999887884,None,18:33:13.838597,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,1,0,1,0,0,0,0,0,21.124288299994078,,18:33:13.839761,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,1,0,1,0,1,0,1,0,22.209827799990308,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,1,0,1,0,2,0,2,0,23.328673999989405,,,18:33:18.045118,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,1,0,1,0,,,,,,,,,"[1, 3, 9]",139,space,1.9242565999738872,None,18:33:20.080072,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,2,0,2,0,0,0,0,0,27.337425499979872,,18:33:20.081062,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,2,0,2,0,1,0,1,0,28.437254499993287,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,2,0,2,0,2,0,2,0,29.53710819996195,,,18:33:24.292561,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,2,0,2,0,,,,,,,,,"[1, 8, 6]",186 ,space,2.051204899966251,None,18:33:26.460880,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,3,0,3,0,0,0,0,0,33.70198319997871,,18:33:26.460880,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,3,0,3,0,1,0,1,0,34.80192859994713,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,3,0,3,0,2,0,2,0,35.90131879999535,,,18:33:30.658304,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,3,0,3,0,,,,,,,,,"[6, 3, 1]",631 ,space,1.7878281999728642,None,18:33:32.565575,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,4,0,4,0,0,0,0,0,39.87226249999367,,18:33:32.566572,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,4,0,4,0,1,0,1,0,40.916913699998986,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,4,0,4,0,2,0,2,0,42.05721040000208,,,18:33:36.772145,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,4,0,4,0,,,,,,,,,"[4, 8, 7]",487,space,1.4156900000525638,None,18:33:38.291733,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,5,0,5,0,0,0,0,0,45.533038199995644,,18:33:38.292735,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,5,0,5,0,1,0,1,0,46.69047219998902,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,5,0,5,0,2,0,2,0,47.747263099998236,,,18:33:42.504113,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,5,0,5,0,,,,,,,,,"[3, 2, 8]",328,space,1.3646263999980874,None,18:33:43.977552,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,6,0,6,0,0,0,0,0,51.219286799954716,,18:33:43.977552,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,6,0,6,0,1,0,1,0,52.32988999999361,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,6,0,6,0,2,0,2,0,53.4294028999866,,,18:33:48.185553,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,6,0,6,0,,,,,,,,,"[2, 8, 1]",321,space,5.607084899966139,None,18:33:53.902007,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,7,0,7,0,0,0,0,0,61.143810599984135,,18:33:53.902007,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,7,0,7,0,1,0,1,0,62.2428192999796,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,7,0,7,0,2,0,2,0,63.347072799981106,,,18:33:58.115767,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,7,0,7,0,,,,,,,,,"[8, 2, 4]",824 ,space,3.454127500008326,None,18:34:01.690452,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,8,0,8,0,0,0,0,0,68.93122269999003,,18:34:01.691448,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,8,0,8,0,1,0,1,0,70.05947089998517,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,8,0,8,0,2,0,2,0,71.14009869995061,,,18:34:05.896520,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,8,0,8,0,,,,,,,,,"[0, 5, 9]",059,space,1.2275667999638245,None,18:34:07.232124,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,9,0,9,0,0,0,0,0,74.4723507000017,,18:34:07.233118,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,9,0,9,0,1,0,1,0,75.57190419995459,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,9,0,9,0,2,0,2,0,76.67207579995738,,,18:34:11.429739,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,9,0,9,0,,,,,,,,,"[2, 3, 0]",230,space,0.824178499984555,None,18:34:12.363039,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,10,0,10,0,0,0,0,0,79.60426309995819,,18:34:12.364017,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,10,0,10,0,1,0,1,0,80.70379409997258,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,10,0,10,0,2,0,2,0,81.80389329994796,,,18:34:16.561404,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,10,0,10,0,,,,,,,,,"[8, 4, 0]",840,space,0.7806844000006095,None,18:34:17.460521,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,11,0,11,0,0,0,0,0,84.70275850000326,,18:34:17.461514,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,11,0,11,0,1,0,1,0,85.80215389997466,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,11,0,11,0,2,0,2,0,86.90147399995476,,,18:34:21.657982,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,11,0,11,0,,,,,,,,,"[3, 2, 5]",025,space,5.054943100025412,None,18:34:26.826830,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,12,0,12,0,0,0,0,0,94.07746819994645,,18:34:26.826830,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,12,0,12,0,1,0,1,0,95.18289429997094,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,12,0,12,0,2,0,2,0,96.28246439999202,,,18:34:31.037728,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,12,0,12,0,,,,,,,,,"[4, 7, 0]",470,space,0.8928932000417262,None,18:34:32.041310,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,13,0,13,0,0,0,0,0,99.28129289997742,,18:34:32.042305,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,13,0,13,0,1,0,1,0,100.38413239998044,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,13,0,13,0,2,0,2,0,101.49716759996954,,,18:34:36.253470,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,13,0,13,0,,,,,,,,,"[0, 3, 6]",036,space,1.356514499988407,None,18:34:37.722502,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,14,0,14,0,0,0,0,0,104.96321369998623,,18:34:37.723491,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,14,0,14,0,1,0,1,0,106.06265229999553,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,14,0,14,0,2,0,2,0,107.16294119996019,,,18:34:41.918863,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,14,0,14,0,,,,,,,,,"[2, 4, 9]",0234,space,3.0952509999624453,None,18:34:45.136466,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
0,0,0,0,,,,,,,,,,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,0,0,0,0,0,0,0,0,114.91499239997938,,18:34:47.657901,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,0,0,0,0,1,0,1,0,116.00977819995023,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,0,0,0,0,2,0,2,0,117.10930609999923,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,0,0,0,0,3,0,3,0,118.2086611999548,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,0,0,0,0,4,0,4,0,119.30839919997379,,,18:34:54.064822,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,0,0,0,0,,,,,,,,,"[2, 1, 5, 6, 3]",26315 ,space,6.2367856000200845,None,18:35:00.422328,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,1,0,1,0,0,0,0,0,127.66117350000422,,18:35:00.423330,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,1,0,1,0,1,0,1,0,128.7746811999823,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,1,0,1,0,2,0,2,0,129.87242819997482,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,1,0,1,0,3,0,3,0,130.97132389998296,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,1,0,1,0,4,0,4,0,132.07436279999092,,,18:35:06.827824,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,1,0,1,0,,,,,,,,,"[2, 5, 1, 3, 4]",5134,space,5.477664700010791,None,18:35:12.412676,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,2,0,2,0,0,0,0,0,139.65234769997187,,18:35:12.413673,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,2,0,2,0,1,0,1,0,140.7519947999972,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,2,0,2,0,2,0,2,0,141.85499849996995,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,2,0,2,0,3,0,3,0,142.9677248999942,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,2,0,2,0,4,0,4,0,144.06769199995324,,,18:35:18.823499,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,2,0,2,0,,,,,,,,,"[9, 4, 2, 0, 1]",94201 ,space,4.2871644999831915,None,18:35:23.225823,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,3,0,3,0,0,0,0,0,150.46491909999168,,18:35:23.225823,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,3,0,3,0,1,0,1,0,151.5651932999608,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,3,0,3,0,2,0,2,0,152.66481919999933,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,3,0,3,0,3,0,3,0,153.7642249999917,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,3,0,3,0,4,0,4,0,154.8640622999519,,,18:35:29.620055,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,3,0,3,0,,,,,,,,,"[0, 5, 9, 6, 1]",05961 ,space,3.790098700032104,None,18:35:33.540467,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,4,0,4,0,0,0,0,0,160.78322549996665,,18:35:33.541478,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
1,0,1,0,4,0,4,0,1,0,1,0,161.89835279999534,,,,,,,,,,1,1,2024-06-28_18h32.39.157,digit_span,2023.2.3,60.048663436895694,2024-06-28 18h32.53.941354 +0200,
